# Task: cycling,,,,,,
# Frequency (Hz): 20,,,,,,
# Clock (millisecond): 250,,,,,,
# Duration (seconds): 120,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,35.75,1.79,21,2.45,20.5,0.5
250,38.75,1.48,17,4.32,19.67,2.05
500,41.67,0.47,15.75,5.12,20.33,5.19
750,41.67,0.47,12,3.67,15,7.07
1000,35,2.83,21.67,5.56,27,2.12
1250,31.5,5.17,22.5,6.18,20,3.24
1500,31.5,6.18,22.75,1.09,18.25,3.96
1750,39.25,0.43,20,3.24,19.5,4.97
2000,41.5,0.5,16.25,2.28,18,4.64
2250,37.25,2.68,19,6.56,26,3.67
2500,33.5,2.69,23,1.41,20,1.41
2750,35.25,5.12,23.33,0.94,16.67,3.4
3000,37.75,1.3,20.75,1.64,21.75,2.49
3250,41.67,0.47,13.5,5.59,13.33,2.62
3500,37.25,4.49,17,4.47,21.25,2.77
3750,33.67,1.7,25.67,1.25,22.75,5.93
4000,36.25,4.76,23.5,2.18,20.25,2.49
4250,34.75,6.26,19,3.94,20.5,2.5
4500,41.25,1.48,17.75,5.49,21,2.55
4750,39.75,3.96,17.33,1.7,21.67,2.05
5000,32.25,1.92,24.5,2.29,23,1.58
5250,33.5,4.39,23,1.41,12.33,6.94
5500,36.75,4.44,23.2,2.64,17.2,2.93
5750,38.25,0.83,17.33,6.24,19.67,2.62
6000,42,1.87,15.5,1.8,19.25,4.87
6250,36.25,3.19,15.25,3.27,23,1.22
6500,31.33,1.25,24,1.22,25.67,1.89
6750,37.33,3.3,23.75,1.79,14.33,1.7
7000,35.5,3.35,20.5,2.29,14.5,2.29
7250,38.75,0.43,14,7.45,19.5,3.2
7500,41.33,1.7,13.33,3.4,11.75,3.7
7750,35.5,3.84,19.5,5.41,21.25,2.49
8000,31.75,2.49,25,1.22,18.25,2.17
8250,35.5,5.77,22.5,5.02,15.67,1.7
8500,36.25,2.17,16.5,6.18,16,3.16
8750,40.5,1.12,17.5,3.2,20.25,1.48
9000,38.25,5.54,17.5,0.5,18.75,5.07
9250,33,2.12,23.25,3.27,23.25,1.3
9500,34,3.67,17.75,9.78,16.75,1.79
9750,37.5,1.12,19.25,3.27,17.67,1.25
10000,39.75,1.3,16.5,6.87,18.75,6.3
10250,41.75,0.43,10.75,3.63,15.5,7.5
10500,38.33,0.94,18.33,4.11,25.5,1.5
10750,33.25,1.79,23.25,1.3,15.5,6.26
11000,37.67,2.36,21.25,2.95,12.33,2.87
11250,38,0,20.33,2.05,17.67,3.86
11500,41,1.22,15.25,5.07,14.5,8.38
11750,39.25,2.17,15.5,3.04,21.5,3.91
12000,34,3.74,24.75,2.49,14.67,3.68
12250,34,3.16,20.5,3.64,14.5,7.37
12500,37.5,1.12,18.5,2.5,15.33,2.49
12750,40.25,0.83,18.33,3.09,22.67,1.89
13000,42,0,13,1.41,16,4.08
13250,37.75,1.09,18.5,4.5,24.25,2.49
13500,32.67,0.47,25.33,0.94,18.33,6.94
13750,33.75,3.77,18.25,6.34,16.75,3.96
